Phone Code,Area,Example,Latitude,Longitude
1709,Rotherham,(01709) xxxxxx,53.432604,-1.363501
1720,Isles of Scilly,(01720) xxxxxx,49.925002,-6.298672
1721,Peebles,(01721) xxxxxx,55.653071,-3.193642
1722,Salisbury,(01722) xxxxxx,51.068785,-1.794472
1723,Scarborough,(01723) xxxxxx,54.283113,-0.399752
1724,Scunthorpe,(01724) xxxxxx,53.588646,-0.654413
1725,Rockbourne,(01725) xxxxxx,50.963583,-1.84007
1726,St Austell,(01726) xxxxxx,50.337261,-4.788033
1727,St Albans,(01727) xxxxxx,51.752725,-0.339436
1728,Saxmundham,(01728) xxxxxx,52.215855,1.488056
1729,Settle,(01729) xxxxxx,54.068246,-2.277655
1730,Petersfield,(01730) xxxxxx,51.007591,-0.93899
1732,Sevenoaks,(01732) xxxxxx,51.27241,0.190898
1733,Peterborough,(01733) xxxxxx,52.569498,-0.24053
1736,Penzance,(01736) xxxxxx,50.118798,-5.537592
1737,Redhill,(01737) xxxxxx,51.239208,-0.16988
1738,Perth,(01738) xxxxxx,56.394994,-3.430838
1740,Sedgefield,(01740) xxxxxx,54.653152,-1.45019
1743,Shrewsbury,(01743) xxxxxx,52.706935,-2.752722
1744,St Helens,(01744) xxxxxx,53.456307,-2.737095
1745,Rhyl,(01745) xxxxxx,53.319141,-3.491634
1746,Bridgnorth,(01746) xxxxxx,52.534455,-2.424549
1747,Shaftesbury,(01747) xxxxxx,51.0046,-2.198083
1748,Richmond,(01748) xxxxxx,54.403465,-1.732618
1749,Shepton Mallet,(01749) xxxxxx,51.1909,-2.547886
1750,Selkirk,(01750) xxxxxx,55.550658,-2.838524
1751,Pickering,(01751) xxxxxx,54.243925,-0.777553
1752,Plymouth,(01752) xxxxxx,50.371917,-4.13602
1753,Slough,(01753) xxxxxx,51.510538,-0.595041
1754,Skegness,(01754) xxxxxx,53.146403,0.337881
1756,Skipton,(01756) xxxxxx,53.963613,-2.011881
1757,Selby,(01757) xxxxxx,53.783524,-1.067189
1758,Pwllheli,(01758) xxxxxx,52.888816,-4.417634
1759,Pocklington,(01759) xxxxxx,53.931023,-0.778948
1760,Swaffham,(01760) xxxxxx,52.647466,0.687481
1761,Temple Cloud,(01761) xxxxxx,51.316672,-2.542357
1763,Royston,(01763) xxxxxx,52.048142,-0.024066
1764,Crieff,(01764) xxxxxx,56.37655,-3.841994
1765,Ripon,(01765) xxxxxx,54.13564,-1.527334
1766,Porthmadog,(01766) xxxxxx,52.927842,-4.133384
1767,Sandy,(01767) xxxxxx,52.128118,-0.286788
1768,Penrith,(01768) xxxxxx,54.664097,-2.752708
17683,Appleby,(017683) xxxxx,54.577,-2.486
17684,Pooley Bridge,(017684) xxxxx,54.61264,-2.820242
17687,Keswick,(017687) xxxxx,54.601276,-3.134706
